Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
241,tt0109830,2023-04-26,2023-04-26,,"Forrest Gump - O Contador de Histórias","Forrest Gump",https://www.imdb.com/title/tt0109830/,Filme,8.8,142,1994,"Drama, Romance",2521446,1994-12-07,"Robert Zemeckis",10,2023-04-26
242,tt0137523,2023-04-26,2023-04-26,,"Clube da Luta","Fight Club",https://www.imdb.com/title/tt0137523/,Filme,8.8,139,1999,"Policial, Drama, Suspense",2644387,1999-10-29,"David Fincher",9,2023-04-26
243,tt0120737,2023-04-26,2023-04-26,,"O Senhor dos Anéis: A Sociedade do Anel","The Lord of the Rings: The Fellowship of the Ring",https://www.imdb.com/title/tt0120737/,Filme,8.9,178,2001,"Aventura, Drama, Fantasia",2226102,2002-01-01,"Peter Jackson",9,2026-05-18
244,tt0110912,2023-04-26,2023-04-26,,"Pulp Fiction: Tempo de Violência","Pulp Fiction",https://www.imdb.com/title/tt0110912/,Filme,8.8,154,1994,"Policial, Drama",2456519,1995-03-03,"Quentin Tarantino",9,2023-04-26
245,tt0108052,2023-04-26,2023-04-26,,"A Lista de Schindler","Schindler's List",https://www.imdb.com/title/tt0108052/,Filme,9.0,195,1993,"Biografia, Drama, História",1596603,1994-03-11,"Steven Spielberg",10,2023-04-26
246,tt0167260,2023-04-26,2023-04-26,,"O Senhor dos Anéis: O Retorno do Rei","The Lord of the Rings: The Return of the King",https://www.imdb.com/title/tt0167260/,Filme,9.0,201,2003,"Aventura, Drama, Fantasia",2182912,2003-12-25,"Peter Jackson",8,2023-04-26
247,tt0361862,2023-04-26,2023-04-26,,"O Operário","The Machinist",https://www.imdb.com/title/tt0361862/,Filme,7.6,101,2004,"Drama, Suspense",444730,2005-01-21,"Brad Anderson",8,2023-04-26
248,tt0398808,2023-04-26,2023-04-26,,"Ponte para Terabítia","Bridge to Terabithia",https://www.imdb.com/title/tt0398808/,Filme,7.2,96,2007,"Drama, Família, Fantasia",193559,2007-03-16,"Gabor Csupo",9,2023-04-26
249,tt0092005,2023-05-06,2023-05-06,,"Conta Comigo","Stand by Me",https://www.imdb.com/title/tt0092005/,Filme,8.1,89,1986,"Aventura, Drama",492112,1986-12-19,"Rob Reiner",9,2023-05-06
250,tt1148204,2023-05-15,2023-05-15,,"A Órfã","Orphan",https://www.imdb.com/title/tt1148204/,Filme,7.0,123,2009,"Terror, Mistério, Suspense",279671,2009-09-04,"Jaume Collet-Serra",8,2023-05-15
